"file.name","TMAO-d9","GABA-d6","Choline-d9","Creatinine-d3","Orn-15N2","His-15N","Carnitine-d3","MeHis-d3","F-Phe","F-Tyr","Cl-Tyr"
"",19.66575,22.547866666667,20.348833333333,21.564966666667,20.465433333333,21.681583333333,24.330433333333,22.048083333333,29.294966666667,30.094616666667,30.394483333333
"20230202_122_133",8.8855,12.63765,9.756533333333,11.3646,10.0078,11.582366666667,14.966016666667,12.068133333333,21.632833333333,22.688133333333,23.09015
"",9.840283333333,13.5087,10.711316666667,12.269133333333,10.962583333333,12.4869,15.7868,12.939166666667,22.336366666667,23.374916666667,23.776933333333
"",10.795083333333,14.379733333333,11.649366666667,13.156933333333,11.883866666667,13.374683333333,16.607583333333,13.826966666667,23.0399,24.0617,24.446966666667
"",11.733116666667,15.234016666667,12.5539,14.044716666667,12.805166666667,14.262483333333,17.428366666667,14.71475,23.760183333333,24.731716666667,25.133733333333
"",12.6544,16.0883,13.4752,14.9325,13.7097,15.133516666667,18.2659,15.585783333333,24.446966666667,25.4185,25.787016666667
"",13.5757,16.9426,14.379733333333,15.80355,14.61425,16.00455,19.086733333333,16.440066666667,25.133733333333,26.088533333333,26.45705
"",14.480233333333,17.796883333333,15.267516666667,16.674583333333,15.502033333333,16.875583333333,19.890766666667,17.294366666667,25.820516666667,26.741816666667,27.110316666667
"",15.384783333333,18.6512,16.155316666667,17.528866666667,16.373066666667,17.729883333333,20.71155,18.14865,26.5073,27.411833333333,27.7636
"",16.272566666667,19.5055,17.0431,18.3999,17.26085,18.60095,21.498833333333,19.002966666667,27.177333333333,28.048366666667,28.400133333333
"",17.1771,20.343033333333,17.947633333333,19.287733333333,18.14865,19.45525,22.302866666667,19.857266666667,27.84735,28.70165,29.03665
"",18.0984,21.180566666667,18.852216666667,20.142016666667,19.019716666667,20.292783333333,23.09015,20.67805,28.500633333333,29.338166666667,29.673183333333
"",19.019716666667,22.00135,19.74,20.996316666667,19.874016666667,21.130316666667,23.877433333333,21.515583333333,29.153916666667,29.974733333333,30.293
"",19.941016666667,22.838883333333,20.64455,21.8506,20.74505,21.96785,24.647966666667,22.336366666667,29.823983333333,30.611266666667,30.929533333333
"20230202_13_24",8.864266666667,12.549466666667,9.71855,11.3099,10.003316666667,11.544416666667,14.844316666667,11.996683333333,21.343583333333,22.382183333333,22.76745
"",9.78555,13.387,10.639883333333,12.1642,10.891133333333,12.3987,15.61485,12.867716666667,22.013666666667,23.03545,23.420716666667
"",10.723633333333,14.224533333333,11.544416666667,13.018483333333,11.795683333333,13.26975,16.418883333333,13.705266666667,22.683683333333,23.671983333333,24.0405
"",11.628166666667,15.045316666667,12.3987,13.889516666667,12.683466666667,14.124033333333,17.189416666667,14.55955,23.336966666667,24.308516666667,24.660266666667
"",12.48245,15.8661,13.2865,14.72705,13.57125,14.961566666667,17.9767,15.397083333333,24.007,24.928283333333,25.2968
"",13.37025,16.686883333333,14.157533333333,15.547833333333,14.42555,15.7991,18.763983333333,16.217866666667,24.643516666667,25.548066666667,25.899833333333
